A,Morning Shift,,,,,,,,,,,,,,,,,
B,Afternoon Shift,,,,,,,,,,,,,,,,,
C,Night Shift,,,,,,,,,,,,,,,,,
D,SDM,,,,,,,,,,,,,,,,,
G,Command Ctr Evening Shift,,,,,,,,,,,,,,,,,
H,HOLIDAY,,,,,,,,,,,,,,,,,
I,CIT Morning Shift 06:30 AM to 03:00 PM,,,,,,,,,,,,,,,,,
K,SDM Resource - Morning Shift 11:30 AM to 08:00 PM,,,,,,,,,,,,,,,,,
L,SDM Resource - Evening Shift 04:00 PM to 12:30 AM,,,,,,,,,,,,,,,,,
O,Comp Off,,,,,,,,,,,,,,,,,
Q,CIT Swing Shift 06:00 PM to 02:30 AM,,,,,,,,,,,,,,,,,
R,Regular Shift 09:00 AM to 05:30 PM,,,,,,,,,,,,,,,,,
S,On-Site,,,,,,,,,,,,,,,,,
T,Training,,,,,,,,,,,,,,,,,
V,Vacation,,,,,,,,,,,,,,,,,
W,Weekly Off [Saturday or Sunday only],,,,,,,,,,,,,,,,,
X,Work from Home,,,,,,,,,,,,,,,,,
Y,On Call,,,,,,,,,,,,,,,,,
Z,Comp Off Encashment Code,,,,,,,,,,,,,,,,,